Country or Area,Year,Item,Value
Afghanistan,2021,Gross Domestic Product (GDP),1.23286E+12
Albania,2021,Gross Domestic Product (GDP),1.89028E+12
Algeria,2021,Gross Domestic Product (GDP),2.20793E+13
Andorra,2021,Gross Domestic Product (GDP),2810970000
Angola,2021,Gross Domestic Product (GDP),4.45376E+13
Anguilla,2021,Gross Domestic Product (GDP),817330000
Antigua and Barbuda,2021,Gross Domestic Product (GDP),3837240000
Argentina,2021,Gross Domestic Product (GDP),4.62821E+13
Armenia,2021,Gross Domestic Product (GDP),6.98296E+12
Aruba,2021,Gross Domestic Product (GDP),5595574724
Australia,2021,Gross Domestic Product (GDP),2.30905E+12
Austria,2021,Gross Domestic Product (GDP),4.06149E+11
Azerbaijan,2021,Gross Domestic Product (GDP),92857700000
Bahamas,2021,Gross Domestic Product (GDP),11208600000
Bahrain,2021,Gross Domestic Product (GDP),14614620000
Bangladesh,2021,Gross Domestic Product (GDP),3.53018E+13
Barbados,2021,Gross Domestic Product (GDP),9687600000
Belarus,2021,Gross Domestic Product (GDP),1.73153E+11
Belgium,2021,Gross Domestic Product (GDP),5.02312E+11
Belize,2021,Gross Domestic Product (GDP),4983346862
Benin,2021,Gross Domestic Product (GDP),9.80969E+12
Bermuda,2021,Gross Domestic Product (GDP),7230610106
Bhutan,2021,Gross Domestic Product (GDP),1.76077E+11
Bolivia (Plurinational State of),2021,Gross Domestic Product (GDP),2.79221E+11
Bosnia and Herzegovina,2021,Gross Domestic Product (GDP),38636962000
Botswana,2021,Gross Domestic Product (GDP),1.95301E+11
Brazil,2021,Gross Domestic Product (GDP),8.67949E+12
British Virgin Islands,2021,Gross Domestic Product (GDP),1538792087
Brunei Darussalam,2021,Gross Domestic Product (GDP),18822028196
Bulgaria,2021,Gross Domestic Product (GDP),1.39012E+11
Burkina Faso,2021,Gross Domestic Product (GDP),1.09451E+13
Burundi,2021,Gross Domestic Product (GDP),7.70571E+12
Cabo Verde,2021,Gross Domestic Product (GDP),1.80486E+11
Cambodia,2021,Gross Domestic Product (GDP),1.09311E+14
Cameroon,2021,Gross Domestic Product (GDP),2.51578E+13
Canada,2021,Gross Domestic Product (GDP),2.49313E+12
Cayman Islands,2021,Gross Domestic Product (GDP),4840490699
