"Country or Area","Year","Item","Value"
"Afghanistan","2021","Gross Domestic Product (GDP)","372.548874780042"
"Albania","2021","Gross Domestic Product (GDP)","6396.46181225342"
"Algeria","2021","Gross Domestic Product (GDP)","3700.32405783434"
"Andorra","2021","Gross Domestic Product (GDP)","42066.0415696858"
"Angola","2021","Gross Domestic Product (GDP)","2044.2182115247"
"Anguilla","2021","Gross Domestic Product (GDP)","19216.3279892601"
"Antigua and Barbuda","2021","Gross Domestic Product (GDP)","15245.8189854"
"Argentina","2021","Gross Domestic Product (GDP)","10761.0816269643"
"Armenia","2021","Gross Domestic Product (GDP)","4966.51667567882"
"Aruba","2021","Gross Domestic Product (GDP)","29342.1008558781"
"Australia","2021","Gross Domestic Product (GDP)","66915.8592008469"
"Austria","2021","Gross Domestic Product (GDP)","53840.3932953502"
"Azerbaijan","2021","Gross Domestic Product (GDP)","5296.44321168757"
"Bahamas","2021","Gross Domestic Product (GDP)","27478.3896289831"
"Bahrain","2021","Gross Domestic Product (GDP)","26562.9740428193"
"Bangladesh","2021","Gross Domestic Product (GDP)","2449.90651676298"
"Barbados","2021","Gross Domestic Product (GDP)","17225.4623044097"
"Belarus","2021","Gross Domestic Product (GDP)","7121.00468882456"
"Belgium","2021","Gross Domestic Product (GDP)","51165.510222267"
"Belize","2021","Gross Domestic Product (GDP)","6228.70085318388"
"Benin","2021","Gross Domestic Product (GDP)","1360.91147421792"
"Bermuda","2021","Gross Domestic Product (GDP)","112652.646350393"
"Bhutan","2021","Gross Domestic Product (GDP)","3062.91497537619"
"Bolivia (Plurinational State of)","2021","Gross Domestic Product (GDP)","3345.19658874328"
"Bosnia and Herzegovina","2021","Gross Domestic Product (GDP)","7143.28396260018"
"Botswana","2021","Gross Domestic Product (GDP)","6805.24771262702"
"Brazil","2021","Gross Domestic Product (GDP)","7507.16024556456"
"British Virgin Islands","2021","Gross Domestic Product (GDP)","49443.8688708952"
"Brunei Darussalam","2021","Gross Domestic Product (GDP)","31448.9136081385"
"Bulgaria","2021","Gross Domestic Product (GDP)","12207.2577149813"
"Burkina Faso","2021","Gross Domestic Product (GDP)","893.07719598646"
"Burundi","2021","Gross Domestic Product (GDP)","310.706844274277"
"Cabo Verde","2021","Gross Domestic Product (GDP)","3293.23332217177"
"Cambodia","2021","Gross Domestic Product (GDP)","1607.65892853542"
"Cameroon","2021","Gross Domestic Product (GDP)","1668.01241018141"
"Canada","2021","Gross Domestic Product (GDP)","52112.0614958113"
"Cayman Islands","2021","Gross Domestic Product (GDP)","85250.265252558"
"Central African Republic","2021","Gross Domestic Product (GDP)","461.36101321537"
"Chad","2021","Gross Domestic Product (GDP)","955.169672568295"
"Chile","2021","Gross Domestic Product (GDP)","16265.0964340701"
"China (mainland)","2021","Gross Domestic Product (GDP)","12437.2060975257"
"China, Hong Kong SAR","2021","Gross Domestic Product (GDP)","49258.8143466079"
"China, Macao Special Administrative Region","2021","Gross Domestic Product (GDP)","43554.8597342259"
"Colombia","2021","Gross Domestic Product (GDP)","6104.13670930389"
"Comoros","2021","Gross Domestic Product (GDP)","1631.4845533623"
"Congo","2021","Gross Domestic Product (GDP)","2200.3177753634"
"Cook Islands","2021","Gross Domestic Product (GDP)","19263.8900225865"
"Costa Rica","2021","Gross Domestic Product (GDP)","12472.443327393"
"Côte d'Ivoire","2021","Gross Domestic Product (GDP)","2538.91107139605"
"Croatia","2021","Gross Domestic Product (GDP)","16983.4473172554"
"Cuba","2021","Gross Domestic Product (GDP)","11255.2789495585"
"Curaçao","2021","Gross Domestic Product (GDP)","14183.2552804769"
"Cyprus","2021","Gross Domestic Product (GDP)","32280.928826947"
"Czechia","2021","Gross Domestic Product (GDP)","26808.5398580416"
"Democratic People's Republic of Korea","2021","Gross Domestic Product (GDP)","654.148007580355"
"Democratic Republic of the Congo","2021","Gross Domestic Product (GDP)","551.127775172991"
"Denmark","2021","Gross Domestic Product (GDP)","68036.7174499952"
"Djibouti","2021","Gross Domestic Product (GDP)","3348.01339134736"
"Dominica","2021","Gross Domestic Product (GDP)","7570.78378148905"
"Dominican Republic","2021","Gross Domestic Product (GDP)","8476.74968827998"
"Ecuador","2021","Gross Domestic Product (GDP)","5965.13287054416"
"Egypt","2021","Gross Domestic Product (GDP)","3898.01973030035"
"El Salvador","2021","Gross Domestic Product (GDP)","4551.18479682276"
"Equatorial Guinea","2021","Gross Domestic Product (GDP)","7605.45338603103"
"Eritrea","2021","Gross Domestic Product (GDP)","622.982140234401"
"Estonia","2021","Gross Domestic Product (GDP)","27990.6210290954"
"Ethiopia","2021","Gross Domestic Product (GDP)","825.29111407975"
"Fiji","2021","Gross Domestic Product (GDP)","4646.5379213787"
"Finland","2021","Gross Domestic Product (GDP)","53703.4525200273"
"France","2021","Gross Domestic Product (GDP)","44229.3937152728"
"French Polynesia","2021","Gross Domestic Product (GDP)","19914.5990586098"
"Gabon","2021","Gross Domestic Product (GDP)","7910.8460826124"
"Gambia","2021","Gross Domestic Product (GDP)","772.151452386123"
"Georgia","2021","Gross Domestic Product (GDP)","4975.12492080027"
"Germany","2021","Gross Domestic Product (GDP)","51073.1178941387"
"Ghana","2021","Gross Domestic Product (GDP)","2408.6349026275"
"Greece","2021","Gross Domestic Product (GDP)","20571.2179357684"
"Greenland","2021","Gross Domestic Product (GDP)","58185.2407468413"
"Grenada","2021","Gross Domestic Product (GDP)","8950.22856200233"
"Guatemala","2021","Gross Domestic Product (GDP)","4883.20781594319"
"Guinea","2021","Gross Domestic Product (GDP)","1185.05914010615"
"Guinea-Bissau","2021","Gross Domestic Product (GDP)","758.552119677899"
