rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
200,Aruba,ARU,859.97,859.97,0,CONCACAF,12/23/2021
209,Anguilla,AIA,792.34,792.34,0,CONCACAF,12/23/2021
75,Iraq,IRQ,1333.03,1335.58,0,AFC,12/23/2021
74,China PR,CHN,1337.33,1337.33,0,AFC,12/23/2021
73,Cabo Verde,CPV,1339.48,1339.48,0,CAF,12/23/2021
72,Montenegro,MNE,1342.89,1342.89,0,UEFA,12/23/2021
71,Bulgaria,BUL,1345.47,1345.47,0,UEFA,12/23/2021
70,El Salvador,SLV,1349.47,1350.63,1,CONCACAF,12/23/2021
69,United Arab Emirates,UAE,1350.39,1350.41,-1,AFC,12/23/2021
68,South Africa,RSA,1358.24,1358.24,0,CAF,12/23/2021
67,North Macedonia,MKD,1367.23,1367.23,0,UEFA,12/23/2021
66,Albania,ALB,1374.98,1374.98,0,UEFA,12/23/2021
76,Honduras,HON,1332.16,1332.16,0,CONCACAF,12/23/2021
65,Slovenia,SVN,1375.42,1375.42,0,UEFA,12/23/2021
63,Panama,PAN,1379.34,1379.34,0,CONCACAF,12/23/2021
62,Iceland,ISL,1385.21,1385.21,0,UEFA,12/23/2021
61,Bosnia and Herzegovina,BIH,1391.19,1392.56,0,UEFA,12/23/2021
60,Burkina Faso,BFA,1397.64,1397.64,0,CAF,12/23/2021
59,Venezuela,VEN,1409.14,1409.14,0,CONMEBOL,12/23/2021
58,Finland,FIN,1411.77,1411.77,0,UEFA,12/23/2021
57,Jamaica,JAM,1412.13,1412.13,0,CONCACAF,12/23/2021
56,Côte d'Ivoire,CIV,1417.86,1417.86,0,CAF,12/23/2021
55,Greece,GRE,1421.99,1421.99,0,UEFA,12/23/2021
54,Northern Ireland,NIR,1424.97,1424.97,0,UEFA,12/23/2021
64,Congo DR,COD,1375.64,1375.64,0,CAF,12/23/2021
53,Mali,MLI,1427.98,1427.98,0,CAF,12/23/2021
77,Bolivia,BOL,1324.21,1324.21,0,CONMEBOL,12/23/2021
79,Oman,OMA,1306.01,1307.09,1,AFC,12/23/2021
101,Madagascar,MAD,1205.61,1205.61,0,CAF,12/23/2021
100,Trinidad and Tobago,TRI,1207.94,1207.94,0,CONCACAF,12/23/2021
99,Palestine,PLE,1208.9,1211.32,1,AFC,12/23/2021
98,Vietnam,VIE,1212.54,1209.22,-1,AFC,12/23/2021
97,Congo,CGO,1221.4,1221.4,0,CAF,12/23/2021
96,Kyrgyz Republic,KGZ,1228.69,1228.69,0,AFC,12/23/2021
95,Lebanon,LBN,1233,1233.76,1,AFC,12/23/2021
94,Belarus,BLR,1233.43,1233.43,-1,UEFA,12/23/2021
93,Luxembourg,LUX,1236.45,1236.45,0,UEFA,12/23/2021
92,Armenia,ARM,1242.24,1242.24,0,UEFA,12/23/2021
78,Israel,ISR,1306.7,1306.7,-1,UEFA,12/23/2021
91,Bahrain,BHR,1252.19,1255.75,1,AFC,12/23/2021
89,Gabon,GAB,1262,1262,0,CAF,12/23/2021
88,Zambia,ZAM,1264.64,1264.64,0,CAF,12/23/2021
87,Haiti,HAI,1268.05,1268.05,0,CONCACAF,12/23/2021
86,Syria,SYR,1268.54,1269.96,1,AFC,12/23/2021
85,Georgia,GEO,1269.24,1269.24,-1,UEFA,12/23/2021
84,Uzbekistan,UZB,1274.58,1274.58,0,AFC,12/23/2021
83,Benin,BEN,1282.53,1282.53,0,CAF,12/23/2021
82,Uganda,UGA,1285.28,1285.28,0,CAF,12/23/2021
81,Guinea,GUI,1298.32,1298.32,0,CAF,12/23/2021
80,Curaçao,CUW,1298.39,1298.39,0,CONCACAF,12/23/2021
90,Jordan,JOR,1255.69,1252.95,-1,AFC,12/23/2021
52,Ghana,GHA,1428.97,1428.97,0,CAF,12/23/2021
51,Saudi Arabia,KSA,1434.71,1441.17,3,AFC,12/23/2021
50,Cameroon,CMR,1437.35,1437.35,0,CAF,12/23/2021
22,Peru,PER,1551.15,1551.15,0,CONMEBOL,12/23/2021
21,IR Iran,IRN,1557.58,1557.58,0,AFC,12/23/2021
20,Senegal,SEN,1561.68,1561.68,0,CAF,12/23/2021
19,Wales,WAL,1578.01,1578.01,0,UEFA,12/23/2021
18,Sweden,SWE,1588.26,1588.26,0,UEFA,12/23/2021
17,Uruguay,URU,1596.66,1596.66,0,CONMEBOL,12/23/2021
16,Colombia,COL,1607.15,1607.15,0,CONMEBOL,12/23/2021
15,Croatia,CRO,1620.74,1620.74,0,UEFA,12/23/2021
14,Mexico,MEX,1638.3,1638.76,0,CONCACAF,12/23/2021
13,Switzerland,SUI,1642.83,1642.83,0,UEFA,12/23/2021
23,Serbia,SRB,1547.38,1547.38,0,UEFA,12/23/2021
12,Germany,GER,1648.33,1648.33,1,UEFA,12/23/2021
10,Netherlands,NED,1653.73,1653.73,0,UEFA,12/23/2021
9,Denmark,DEN,1654.54,1654.54,0,UEFA,12/23/2021
8,Portugal,POR,1660.25,1660.25,0,UEFA,12/23/2021
7,Spain,ESP,1704.75,1704.75,0,UEFA,12/23/2021
6,Italy,ITA,1740.77,1740.77,0,UEFA,12/23/2021
5,Argentina,ARG,1750.51,1750.51,0,CONMEBOL,12/23/2021
4,England,ENG,1755.52,1755.52,0,UEFA,12/23/2021
3,France,FRA,1786.15,1786.15,0,UEFA,12/23/2021
2,Brazil,BRA,1826.35,1826.35,0,CONMEBOL,12/23/2021
1,Belgium,BEL,1828.45,1828.45,0,UEFA,12/23/2021
11,USA,USA,1648.51,1647.14,-1,CONCACAF,12/23/2021
24,Chile,CHI,1543.42,1541.33,0,CONMEBOL,12/23/2021
25,Ukraine,UKR,1535.08,1535.08,0,UEFA,12/23/2021
26,Japan,JPN,1531.53,1531.53,0,AFC,12/23/2021
49,Costa Rica,CRC,1437.43,1437.43,0,CONCACAF,12/23/2021
48,Qatar,QAT,1437.91,1431.01,-3,AFC,12/23/2021
47,Republic of Ireland,IRL,1444.29,1444.29,0,UEFA,12/23/2021
46,Ecuador,ECU,1448.27,1448.74,0,CONMEBOL,12/23/2021
45,Egypt,EGY,1451.77,1449.51,0,CAF,12/23/2021
44,Romania,ROU,1453.18,1453.18,0,UEFA,12/23/2021
43,Paraguay,PAR,1454.52,1454.52,0,CONMEBOL,12/23/2021
42,Slovakia,SVK,1455.36,1455.36,0,UEFA,12/23/2021
41,Norway,NOR,1455.43,1455.43,0,UEFA,12/23/2021
40,Canada,CAN,1462.32,1462.32,0,CONCACAF,12/23/2021
39,Hungary,HUN,1465.62,1465.62,0,UEFA,12/23/2021
38,Scotland,SCO,1471.82,1471.82,0,UEFA,12/23/2021
37,Turkey,TUR,1472.72,1472.72,0,UEFA,12/23/2021
36,Nigeria,NGA,1478.78,1478.78,0,CAF,12/23/2021
35,Australia,AUS,1484.88,1484.88,0,AFC,12/23/2021
34,Russia,RUS,1493.42,1493.42,0,UEFA,12/23/2021
33,Korea Republic,KOR,1507.24,1507.24,0,AFC,12/23/2021
32,Czech Republic,CZE,1510.42,1510.42,1,UEFA,12/23/2021
31,Austria,AUT,1511.56,1511.56,1,UEFA,12/23/2021
30,Tunisia,TUN,1512.72,1512.13,1,CAF,12/23/2021
29,Algeria,ALG,1516.51,1508.54,-3,CAF,12/23/2021
28,Morocco,MAR,1529.93,1525.5,0,CAF,12/23/2021
27,Poland,POL,1530.62,1530.62,0,UEFA,12/23/2021
102,Kenya,KEN,1202.26,1202.26,0,CAF,12/23/2021
103,Mauritania,MTN,1190.26,1190.23,0,CAF,12/23/2021
210,San Marino,SMR,780.33,780.33,0,UEFA,12/23/2021
105,Cyprus,CYP,1178.65,1178.65,0,UEFA,12/23/2021
180,Chad,CHA,935,935,0,CAF,12/23/2021
179,Cuba,CUB,948.96,948.96,0,CONCACAF,12/23/2021
178,Montserrat,MSR,950.71,950.71,0,CONCACAF,12/23/2021
177,St. Lucia,LCA,953.45,953.45,0,CONCACAF,12/23/2021
176,Guyana,GUY,958.87,958.87,0,CONCACAF,12/23/2021
175,Malta,MLT,958.95,958.95,0,UEFA,12/23/2021
174,St. Vincent and the Grenadines,VIN,960.71,960.71,0,CONCACAF,12/23/2021
173,Puerto Rico,PUR,962.77,962.77,0,CONCACAF,12/23/2021
172,Mauritius,MRI,964.94,964.94,0,CAF,12/23/2021
171,Cambodia,CAM,966.61,970.42,1,AFC,12/23/2021
182,Macau,MAC,922.1,922.1,0,AFC,12/23/2021
170,Belize,BLZ,967.42,967.42,-1,CONCACAF,12/23/2021
168,Grenada,GRN,974.03,974.03,0,CONCACAF,12/23/2021
167,South Sudan,SSD,980.25,980.25,0,CAF,12/23/2021
166,Bermuda,BER,982.43,982.43,1,CONCACAF,12/23/2021
165,Papua New Guinea,PNG,990.55,990.55,1,OFC,12/23/2021
164,Indonesia,IDN,992.31,981.18,-2,AFC,12/23/2021
163,Vanuatu,VAN,995.62,995.62,0,OFC,12/23/2021
162,Barbados,BRB,995.94,995.94,0,CONCACAF,12/23/2021
161,Fiji,FIJ,996.27,996.27,0,OFC,12/23/2021
160,Singapore,SGP,1003.39,997.42,0,AFC,12/23/2021
159,Tahiti,TAH,1014.27,1014.27,0,OFC,12/23/2021
169,Nepal,NEP,972.45,972.45,0,AFC,12/23/2021
183,Dominica,DMA,916.72,916.72,0,CONCACAF,12/23/2021
184,Mongolia,MNG,916.68,916.68,0,AFC,12/23/2021
185,Bhutan,BHU,910.96,910.96,-1,AFC,12/23/2021
104,India,IND,1182.75,1182.75,0,AFC,12/23/2021
208,British Virgin Islands,VGB,812.94,812.94,0,CONCACAF,12/23/2021
207,US Virgin Islands,VIR,816.13,816.13,0,CONCACAF,12/23/2021
206,Guam,GUM,838.33,838.33,0,AFC,12/23/2021
205,Turks and Caicos Islands,TCA,839.84,839.84,0,CONCACAF,12/23/2021
204,Sri Lanka,SRI,842.93,842.8,0,AFC,12/23/2021
203,Gibraltar,GIB,853.6,853.6,0,UEFA,12/23/2021
202,Eritrea,ERI,855.56,855.56,0,CAF,12/23/2021
201,Bahamas,BAH,858.5,858.5,0,CONCACAF,12/23/2021
199,Tonga,TGA,861.81,861.81,0,OFC,12/23/2021
198,Pakistan,PAK,866.81,866.81,0,AFC,12/23/2021
197,Seychelles,SEY,870.63,869.51,0,CAF,12/23/2021
196,Timor-Leste,TLS,873.13,879.43,2,AFC,12/23/2021
195,Cayman Islands,CAY,873.64,873.64,-1,CONCACAF,12/23/2021
194,Somalia,SOM,873.71,873.71,-1,CAF,12/23/2021
193,Samoa,SAM,894.26,894.26,0,OFC,12/23/2021
192,Djibouti,DJI,896.62,896.62,0,CAF,12/23/2021
191,Liechtenstein,LIE,899.52,899.52,0,UEFA,12/23/2021
190,American Samoa,ASA,900.27,900.27,0,OFC,12/23/2021
189,São Tomé and Príncipe,STP,903.31,903.31,0,CAF,12/23/2021
188,Brunei Darussalam,BRU,903.9,903.9,0,AFC,12/23/2021
187,Laos,LAO,904.6,912.07,2,AFC,12/23/2021
186,Bangladesh,BAN,907.83,907.83,-1,AFC,12/23/2021
158,Chinese Taipei,TPE,1017.78,1017.78,0,AFC,12/23/2021
157,Maldives,MDV,1021.58,1021.58,0,AFC,12/23/2021
181,Moldova,MDA,928.35,928.35,0,UEFA,12/23/2021
155,Andorra,AND,1030.28,1030.28,0,UEFA,12/23/2021
128,Philippines,PHI,1129.91,1131.93,2,AFC,12/23/2021
127,Antigua and Barbuda,ATG,1131.07,1131.07,-1,CONCACAF,12/23/2021
126,Angola,ANG,1131.72,1131.72,-1,CAF,12/23/2021
125,Sudan,SDN,1131.74,1135.89,1,CAF,12/23/2021
124,Togo,TOG,1133.24,1133.24,-1,CAF,12/23/2021
123,Faroe Islands,FRO,1136.99,1136.99,0,UEFA,12/23/2021
122,Guatemala,GUA,1138.4,1138.4,0,CONCACAF,12/23/2021
121,Zimbabwe,ZIM,1138.44,1138.44,0,CAF,12/23/2021
119,Kazakhstan,KAZ,1140.71,1140.71,0,UEFA,12/23/2021
118,Mozambique,MOZ,1151,1151,1,CAF,12/23/2021
129,Malawi,MWI,1127.21,1127.21,0,CAF,12/23/2021
117,Libya,LBY,1151.06,1151.06,1,CAF,12/23/2021
115,Thailand,THA,1156.16,1148.63,-3,AFC,12/23/2021
114,Equatorial Guinea,EQG,1156.78,1156.78,0,CAF,12/23/2021
113,Niger,NIG,1158.39,1158.39,0,CAF,12/23/2021
112,Namibia,NAM,1162.93,1162.93,0,CAF,12/23/2021
111,Kosovo,KOS,1163.05,1163.05,0,UEFA,12/23/2021
110,New Zealand,NZL,1165.81,1165.81,0,OFC,12/23/2021
109,Korea DPR,PRK,1169.96,1169.96,0,AFC,12/23/2021
108,Sierra Leone,SLE,1174.12,1174.12,0,CAF,12/23/2021
107,Estonia,EST,1176.5,1176.5,0,UEFA,12/23/2021
156,Dominican Republic,DOM,1029.42,1029.42,0,CONCACAF,12/23/2021
116,Tajikistan,TJK,1152.56,1152.56,1,AFC,12/23/2021
130,Central African Republic,CTA,1127.2,1127.2,0,CAF,12/23/2021
120,Azerbaijan,AZE,1139.02,1139.02,0,UEFA,12/23/2021
132,Comoros,COM,1117.65,1117.65,0,CAF,12/23/2021
154,Malaysia,MAS,1034.53,1034.87,0,AFC,12/23/2021
131,Tanzania,TAN,1118.76,1118.76,0,CAF,12/23/2021
152,Myanmar,MYA,1044.56,1052.57,4,AFC,12/23/2021
151,Yemen,YEM,1046.26,1046.26,-1,AFC,12/23/2021
150,Gambia,GAM,1049.74,1049.74,-1,CAF,12/23/2021
149,Afghanistan,AFG,1049.77,1049.77,-1,AFC,12/23/2021
148,Botswana,BOT,1051.59,1051.59,-1,CAF,12/23/2021
147,Hong Kong,HKG,1053.39,1053.39,0,AFC,12/23/2021
146,Eswatini,SWZ,1054.14,1054.14,0,CAF,12/23/2021
145,Lesotho,LES,1057.62,1057.62,0,CAF,12/23/2021
144,Liberia,LBR,1058.28,1058.28,0,CAF,12/23/2021
143,Nicaragua,NCA,1062.21,1062.21,0,CONCACAF,12/23/2021
153,New Caledonia,NCL,1035.12,1035.12,0,OFC,12/23/2021
141,Solomon Islands,SOL,1072.78,1072.78,0,OFC,12/23/2021
142,Kuwait,KUW,1064.02,1064.02,0,AFC,12/23/2021
133,Turkmenistan,TKM,1117.6,1117.6,0,AFC,12/23/2021
134,Latvia,LVA,1100.03,1100.03,0,UEFA,12/23/2021
135,Rwanda,RWA,1095.34,1095.34,0,CAF,12/23/2021
136,Lithuania,LTU,1091.77,1091.77,0,UEFA,12/23/2021
106,Guinea-Bissau,GNB,1177.14,1177.14,0,CAF,12/23/2021
138,St. Kitts and Nevis,SKN,1077.76,1077.76,0,CONCACAF,12/23/2021
139,Suriname,SUR,1077.57,1077.57,0,CONCACAF,12/23/2021
140,Burundi,BDI,1075.82,1075.82,0,CAF,12/23/2021
137,Ethiopia,ETH,1087.89,1087.89,0,CAF,12/23/2021
