rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation,rank_date
5,England,ENG,55.0,0.0,0,UEFA,12/31/1992
11,England,ENG,53.0,55.0,6,UEFA,8/8/1993
5,England,ENG,56.0,53.0,-6,UEFA,9/23/1993
10,England,ENG,55.0,56.0,5,UEFA,10/22/1993
8,England,ENG,56.0,55.0,-2,UEFA,11/19/1993
11,England,ENG,54.0,56.0,3,UEFA,12/23/1993
12,England,ENG,54.0,54.0,1,UEFA,2/15/1994
12,England,ENG,54.0,54.0,0,UEFA,3/15/1994
16,England,ENG,51.0,54.0,4,UEFA,4/19/1994
15,England,ENG,50.0,51.0,-1,UEFA,5/17/1994
15,England,ENG,52.0,50.0,0,UEFA,6/14/1994
18,England,ENG,52.0,52.0,3,UEFA,7/21/1994
18,England,ENG,51.0,52.0,0,UEFA,9/13/1994
17,England,ENG,52.0,51.0,-1,UEFA,10/25/1994
16,England,ENG,53.0,52.0,-1,UEFA,11/22/1994
18,England,ENG,52.0,53.0,2,UEFA,12/20/1994
20,England,ENG,52.0,52.0,2,UEFA,2/20/1995
20,England,ENG,50.0,52.0,0,UEFA,4/19/1995
21,England,ENG,49.0,50.0,1,UEFA,5/16/1995
22,England,ENG,47.0,49.0,1,UEFA,6/13/1995
22,England,ENG,49.0,47.0,0,UEFA,7/25/1995
22,England,ENG,49.0,49.0,0,UEFA,8/22/1995
18,England,ENG,51.0,49.0,-4,UEFA,9/19/1995
22,England,ENG,48.0,51.0,4,UEFA,10/17/1995
20,England,ENG,50.0,48.0,-2,UEFA,11/21/1995
21,England,ENG,49.0,50.0,1,UEFA,12/19/1995
24,England,ENG,49.0,49.0,3,UEFA,1/24/1996
27,England,ENG,48.0,49.0,3,UEFA,2/21/1996
23,England,ENG,49.0,48.0,-4,UEFA,4/24/1996
24,England,ENG,49.0,49.0,1,UEFA,5/22/1996
13,England,ENG,55.0,49.0,-11,UEFA,7/3/1996
13,England,ENG,55.0,55.0,0,UEFA,8/28/1996
12,England,ENG,56.0,55.0,-1,UEFA,9/25/1996
12,England,ENG,56.0,56.0,0,UEFA,10/23/1996
12,England,ENG,56.0,56.0,0,UEFA,11/20/1996
12,England,ENG,56.0,56.0,0,UEFA,12/18/1996
12,England,ENG,56.0,56.0,0,UEFA,2/27/1997
14,England,ENG,56.0,56.0,2,UEFA,4/9/1997
13,England,ENG,57.0,56.0,-1,UEFA,5/14/1997
7,England,ENG,60.0,57.0,-6,UEFA,6/18/1997
8,England,ENG,60.0,60.0,1,UEFA,7/16/1997
7,England,ENG,60.0,60.0,-1,UEFA,8/20/1997
7,England,ENG,61.0,60.0,0,UEFA,9/17/1997
7,England,ENG,61.0,61.0,0,UEFA,10/17/1997
6,England,ENG,61.0,61.0,-1,UEFA,11/19/1997
4,England,ENG,61.0,61.0,-2,UEFA,12/23/1997
5,England,ENG,61.0,61.0,1,UEFA,2/18/1998
5,England,ENG,61.0,61.0,0,UEFA,3/18/1998
5,England,ENG,59.0,61.0,0,UEFA,4/22/1998
